10.25,1,9.75,-1.0937e-15,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
10.5,1,9.5,-1.0307e-15,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
10.75,1,9.25,-9.6781e-16,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
11,1,9,-9.0488e-16,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
11.25,1,8.75,-8.4194e-16,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
11.5,1,8.5,-7.7901e-16,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
11.75,1,8.25,-7.1608e-16,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
12,1,8,-6.5314e-16,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
12.25,1,7.75,-5.9021e-16,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
12.5,1,7.5,-5.2728e-16,-1,2.5173e-16,8888,1000,NaN,NaN,2000,-1,2.5173e-16,3000,NaN,NaN
12.75,1,7.25,-4.6435e-16,-1,2.5173e-16,8888,1000,-0.95719,0.20242,2000,-1,2.5173e-16,3000,NaN,NaN
13,1,7.0107,0.050605,-0.95719,0.20242,8888,1000,-0.95687,0.20235,2000,-1,-0.0015809,3000,NaN,NaN
13.25,1,6.7715,0.10119,-0.95687,0.20235,8888,1000,-0.95654,0.20228,2000,-0.99999,-0.003185,3000,NaN,NaN
13.5,1,6.5323,0.15176,-0.95654,0.20228,8888,1000,-0.95621,0.20221,2000,-0.99999,-0.0048129,3000,NaN,NaN
13.75,1,6.2933,0.20232,-0.95621,0.20221,8888,1000,-0.95587,0.20214,2000,-0.99998,-0.006465,3000,NaN,NaN
14,1,6.0543,0.25285,-0.95587,0.20214,8888,1000,-0.95551,0.20206,2000,-0.99997,-0.008142,3000,NaN,NaN
14.25,1,5.8155,0.30337,-0.95551,0.20206,8888,1000,-0.95515,0.20199,2000,-0.99995,-0.0098442,3000,NaN,NaN
14.5,1,5.5767,0.35386,-0.95515,0.20199,8888,1000,-0.95479,0.20191,2000,-0.99993,-0.011572,3000,NaN,NaN
14.75,1,5.338,0.40434,-0.95479,0.20191,8888,1000,-0.95441,0.20183,2000,-0.99991,-0.013327,3000,NaN,NaN
15,1,5.0994,0.4548,-0.95441,0.20183,8888,1000,-0.95403,0.20175,2000,-0.99989,-0.015108,3000,NaN,NaN
15.25,1,4.8609,0.50524,-0.95403,0.20175,8888,1000,-0.95363,0.20167,2000,-0.99986,-0.016917,3000,NaN,NaN
15.5,1,4.6224,0.55565,-0.95363,0.20167,8888,1000,-0.95323,0.20158,2000,-0.99982,-0.018755,3000,NaN,NaN
15.75,1,4.3841,0.60605,-0.95323,0.20158,8888,1000,-0.95282,0.20149,2000,-0.99979,-0.020621,3000,NaN,NaN
16,1,4.1459,0.65642,-0.95282,0.20149,8888,1000,-0.95239,0.2014,2000,-0.99975,-0.022516,3000,NaN,NaN
16.25,1,3.9078,0.70677,-0.95239,0.2014,8888,1000,-0.95196,0.20131,2000,-0.9997,-0.024442,3000,NaN,NaN
16.5,1,3.6698,0.7571,-0.95196,0.20131,8888,1000,-0.95152,0.20122,2000,-0.99965,-0.026398,3000,NaN,NaN
16.75,1,3.432,0.80741,-0.95152,0.20122,8888,1000,-0.95106,0.20112,2000,-0.9996,-0.028386,3000,NaN,NaN
17,1,3.1942,0.85769,-0.95106,0.20112,8888,1000,-0.9506,0.20102,2000,-0.99954,-0.030407,3000,NaN,NaN
17.25,1,2.9566,0.90794,-0.9506,0.20102,8888,1000,-0.95012,0.20092,2000,-0.99947,-0.03246,3000,NaN,NaN
17.5,1,2.719,0.95818,-0.95012,0.20092,8888,1000,-0.94963,0.20082,2000,-0.9994,-0.034547,3000,NaN,NaN
17.75,1,2.4816,1.0084,-0.94963,0.20082,8888,1000,-0.94913,0.20071,2000,-0.99933,-0.036668,3000,NaN,NaN
18,1,2.2443,1.0586,-0.94913,0.20071,8888,1000,-0.94861,0.20061,2000,-0.99925,-0.038825,3000,NaN,NaN
18.25,1,2.0072,1.1087,-0.94861,0.20061,8888,1000,-0.94809,0.20049,2000,-0.99916,-0.041018,3000,NaN,NaN
18.5,1,1.7702,1.1588,-0.94809,0.20049,8888,1000,-0.94754,0.20038,2000,-0.99906,-0.043248,3000,NaN,NaN
18.75,1,1.5333,1.2089,-0.94754,0.20038,8888,1000,-0.94699,0.20026,2000,-0.99896,-0.045516,3000,NaN,NaN
19,1,1.2965,1.259,-0.94699,0.20026,8888,1000,-0.94642,0.20014,2000,-0.99886,-0.047822,3000,NaN,NaN
19.25,1,1.0599,1.309,-0.94642,0.20014,8888,1000,-0.94583,0.20002,2000,-0.99874,-0.050168,3000,NaN,NaN
19.5,1,0.82346,1.359,-0.94583,0.20002,8888,1000,-0.94523,0.19989,2000,-0.99862,-0.052555,3000,NaN,NaN
19.75,1,0.58716,1.409,-0.94523,0.19989,8888,1000,-0.94462,0.19976,2000,-0.99849,-0.054984,3000,NaN,NaN
20,1,0.351,1.4589,-0.94462,0.19976,8888,1000,-0.94398,0.19963,2000,-0.99835,-0.057455,3000,NaN,NaN
20.25,1,0.11501,1.5089,-0.94398,0.19963,8888,1000,-0.99841,-0.056224,2000,-0.9982,-0.05997,3000,NaN,NaN
20.5,1,-0.1346,1.4948,-0.99841,-0.056224,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
20.75,1,-0.38415,1.4798,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
21,1,-0.6337,1.4648,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
21.25,1,-0.88325,1.4498,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
21.5,1,-1.1328,1.4348,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
21.75,1,-1.3823,1.4198,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
22,1,-1.6319,1.4048,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
22.25,1,-1.8814,1.3898,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
22.5,1,-2.131,1.3748,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
